Parlamentare,id,Partito,dataIngresso,905003,905006,905005,905004,905007,905008,905001,905002,905009,009002,009004,009005,009006,009003,009001
LIUZZI MIRELLA,305982,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
TINAGLI IRENE,305984,CI,2017-07-10,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MOLEA BRUNO,305986,CI,2017-07-10,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
SCHIRO' GEA,305989,DES-CD,2013-12-10,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
TARICCO GIACOMINO,305991,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
CULOTTA MAGDA,305993,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
TARANTO LUIGI,305995,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
PICCOLI FLAVIA,305997,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
BORGHI ENRICO,305999,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
BARGERO CRISTINA,306001,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BONIFAZI FRANCESCO,306003,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
FARAONE DAVIDE,306005,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
GRIBAUDO CHIARA,306008,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
PICCIONE TERESA,306009,PD,2013-03-19,Favorevole,Non ha votato,Non ha votato,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
RIBAUDO FRANCESCO,306011,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MOSCATT ANTONINO,306013,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
RABINO MARIANO,306017,NCI-SCPI-MAIE,2016-10-13,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MARGUERETTAZ RUDI FRANCO,306018,LNA,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
DADONE FABIANA,306020,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
CRIPPA DAVIDE,306022,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Non ha votato
VARGIU PIERPAOLO,306025,CI,2017-07-10,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BUSTO MIRKO,306026,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,,,,,,
ROMANO PAOLO NICOLO',306030,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
CORDA EMANUELA,306031,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
GALLO AFFLITTO RICCARDO ANTONIO,306033,FI-PDL,2013-03-19,,,,,,,,,,,,,,,
VALLASCAS ANDREA,306034,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
PINNA PAOLA,306037,CI,2017-07-10,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
NUTI RICCARDO,306038,MISTO,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,,,,,,
BIANCHI NICOLA,306041,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,,,,,,
DI VITA GIULIA,306042,MISTO,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,,,,,,
DI BENEDETTO CHIARA,306045,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,,,,,,
CANI EMANUELE,306046,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
LUPO LOREDANA,306048,M5S,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
CANCELLERI AZZURRA PIA MARIA,306050,M5S,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
MURA ROMINA,306053,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
MANNINO CLAUDIA,306054,M5S,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
SANNA GIOVANNA,306056,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
VACCA GIANLUCA,306058,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
COLLETTI ANDREA,306060,M5S,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
DEL GROSSO DANIELE,306062,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
SOTTANELLI GIULIO CESARE,306064,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
CAPELLI ROBERTO,306066,DES-CD,2013-12-10,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
CASTRICONE ANTONIO,306068,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
GRILLO GIULIA,306071,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
CURRO' TOMMASO,306074,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
AMATO MARIA,306075,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
PIRAS MICHELE,306076,MDP-LU,2017-02-28,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
GUTGELD ITZHAK YORAM,306079,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MARZANA MARIA,306080,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
LOREFICE MARIALUCIA,306082,M5S,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
D'UVA FRANCESCO,306085,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
BONAFEDE ALFONSO,306087,M5S,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
RIZZO GIANLUCA,306088,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
VILLAROSA ALESSIO MATTIA,306091,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
ARTINI MASSIMO,306092,MISTO,2013-03-19,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,,,,,,
BALDASSARRE MARCO,306094,MISTO,2013-03-19,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,,,,,,
GAGNARLI CHIARA,306096,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
LAURICELLA GIUSEPPE,306099,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
RACITI FAUSTO,306101,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
SEGONI SAMUELE,306102,MISTO,2013-03-19,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,,,,,,
ZAPPULLA GIUSEPPE,306104,MDP-LU,2017-02-28,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
GRECO MARIA GAETANA,306106,MDP-LU,2017-02-28,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
NESCI DALILA,306109,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
CARROZZA MARIA CHIARA,306110,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
ALBANELLA LUISELLA,306112,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BARBANTI SEBASTIANO,306115,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
GULLO MARIA TINDARA,306117,FI-PDL,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
MANCIULLI ANDREA,306119,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
DIENI FEDERICA,306120,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
SIMONI ELISA,306122,MDP-LU,2017-02-28,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
PARENTELA PAOLO,306124,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
DONATI MARCO,306126,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
LOTTI LUCA,306128,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
D'ATTORRE ALFREDO,306131,PD,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
BRUNO BOSSIO VINCENZA,306134,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
VECCHIO ANDREA,306135,MISTO,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
NARDELLA DARIO,306136,PD,2013-03-19,,,,,,,,,,,,,,,
STUMPO NICOLA,306139,MDP-LU,2017-02-28,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
ROCCHI MARIA GRAZIA,306140,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BATTAGLIA DEMETRIO,306142,PD,2013-03-19,Astensione,Astensione,Astensione,Astensione,Astensione,Non ha votato,Astensione,Astensione,Non ha votato,,,,,,
MAGORNO ERNESTO,306145,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BINI CATERINA,306146,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
CENSORE BRUNO,306149,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BIFFONI MATTEO,306150,PD,2013-03-19,,,,,,,,,,,,,,,
PARRINI DARIO,306152,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
COVELLO STEFANIA,306154,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
SCOPELLITI ROSANNA,306156,AP-CPE-NCD-NCI,2013-11-18,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
CASTIGLIONE GIUSEPPE,306158,FI-PDL,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
BOSCHI MARIA ELENA,306160,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
FOSSATI FILIPPO,306162,PD,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
DALLAI LUIGI,306164,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
GALLI GIAMPAOLO,306167,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
ERMINI DAVID,306168,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
BENI PAOLO,306170,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
FANUCCI EDOARDO,306172,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
GELLI FEDERICO,306175,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
MAURI MATTEO,306176,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
ROMANO ANDREA,306181,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
NESI EDOARDO,306183,MISTO,2013-03-19,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,Astensione,,,,,,
MARZANO MARIA,306185,MISTO,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
CIVATI GIUSEPPE,306187,PD,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
QUARTAPELLE PROCOPIO LIA,306189,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
NARDI MARTINA,306193,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
LAFORGIA FRANCESCO,306194,MDP-LU,2017-02-28,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
CIMBRO ELEONORA,306196,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
COVA PAOLO,306198,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
GIULIANI FABRIZIA,306200,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
CASATI EZIO PRIMO,306202,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
RAMPI ROBERTO,306204,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
GASPARINI DANIELA MATILDE MARIA,306206,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
CARBONE ERNESTO,306208,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
LOCATELLI PIA ELDA,306210,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
MALPEZZI SIMONA FLAVIA,306212,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
SQUERI LUCA,306214,FI-PDL,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Astensione
BORLETTI DELL'ACQUA ILARIA CARLA ANNA,306216,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
DAMBRUOSO STEFANO,306218,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
LIBRANDI GIANFRANCO,306220,CI,2017-07-10,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
CARINELLI PAOLA,306222,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
DE ROSA MASSIMO FELICE,306224,M5S,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
CASO VINCENZO,306226,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,,,,,,
DI STEFANO MANLIO,306228,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
TRIPIEDI DAVIDE,306230,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
PESCO DANIELE,306232,M5S,2013-03-19,Favorevole,Contrario,Contrario,Contrario,Astensione,Favorevole,Contrario,Favorevole,Astensione,,,,,,
CARUSO MARIO,306243,DES-CD,2013-12-10,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
TACCONI ALESSIO,306245,M5S,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
BUENO RENATA,306247,MISTO,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
BORGHESE MARIO ALEJANDRO,306249,NCI-SCPI-MAIE,2016-10-13,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Astensione,Astensione,Astensione,Favorevole,Astensione,Contrario
NISSOLI ANGELA,306251,DES-CD,2013-12-10,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
LA MARCA FRANCESCA,306253,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
LAVAGNO FABIO,306261,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
ARCHI BRUNO,306264,FI-PDL,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
LACQUANITI LUIGI,306266,MISTO,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
BORDO FRANCO,306268,MDP-LU,2017-02-28,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
KRONBICHLER FLORIAN,306270,SI-SEL-POS-LU,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
ZAN ALESSANDRO,306272,SI-SEL-POS-LU,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario
MARCON GIULIO,306274,SI-SEL-POS-LU,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
CAUSIN ANDREA,306276,AP-CPE-NCD-NCI,2013-11-18,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
PELLEGRINO SERENA,306278,SI-SEL-POS-LU,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
QUARANTA STEFANO,306280,MDP-LU,2017-02-28,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
PAGLIA GIOVANNI,306282,SI-SEL-POS-LU,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Astensione,Contrario,,,,,,
RICCIATTI LARA,306284,MDP-LU,2017-02-28,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
FERRO ANDREA,306286,PD,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
PIAZZONI ILEANA CATHIA,306288,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
PILOZZI NAZZARENO,306290,MISTO,2013-03-19,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Non ha votato,Contrario,,,,,,
CHAOUKI KHALID,306292,PD,2013-03-19,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,
GIORDANO GIANCARLO,306294,SI-SEL-POS-LU,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
DE MITA GIUSEPPE,306296,AP-CPE-NCD-NCI,2013-11-18,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Contrario,,,,,,
PLACIDO ANTONIO,306298,SI-SEL-POS-LU,2013-03-19,Contrario,Favorevole,Contrario,Contrario,Favorevole,Astensione,Contrario,Favorevole,Contrario,,,,,,
